,Period,Country,Event_type,Outline,,States,Non-structured-data,More Information of Incident
20,31-05-2019,India,Heat Wave,"A heatwave has been affecting northern, western and central parts of India. At least 22 people have died from the heat.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=HT-2019-000056-IND"">HT-2019-000056-IN', 'https://www.reuters.com/article/us-india-temperature-workers/india-heatwave-deaths-rise-to-36-poorest-workers-worst-hit-idUSKCN1TD11E"">Re', 'https://reliefweb.int/report/india/india-heatwave-dg-echo-imd-media-echo-daily-flash-07-june-2019""', 'https://reliefweb.int/report/india/heat-wave-grips-north-central-india"">Gover']","['2019/05/31', 'India', 'Heat Wave', 'A heatwave has been affecting northern, western and central parts of India. At least 22 people have died from the heat.']"
21,03-05-2019,India,Tropical Cyclone,"Tropical Cyclone FANI made landfall in Odisha State, India on the morning of 3 May 2019, with maximum sustained winds up to 240 km/h. Over 1 million people have been evacuated from coastal communities in Odisha and Andhra Pradesh and 4,852 shelters have been set up.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2019-000041-IND"">TC-2019-000041-IN', 'https://reliefweb.int/report/india/india-bangladesh-tropical-cyclone-fani-update-gdacs-imd-government-india-bmd-un-noaa""', 'https://reliefweb.int/report/india/india-bangladesh-tropical-cyclone-fani-update-gdacs-jtwc-imd-imd-rsmc-governemnt-india""']","['2019/05/03', 'India', 'Tropical Cyclone', 'Tropical Cyclone FANI made landfall in Odisha State, India on the morning of 3 May 2019, with maximum sustained winds up to 240 km/h. Over 1 million people have been evacuated from coastal communities in Odisha and Andhra Pradesh and 4,852 shelters have been set up.']"
22,16-11-2018,India,Tropical Cyclone,"At least 11 people have been reported dead as severe cyclonic storm Gaja crossed near Tamil Nadu, India on 16 November 2018.",,tamil',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2018-000413-IND"">TC-2018-000413-IN', 'https://reliefweb.int/report/india/asia-and-pacific-weekly-regional-humanitarian-snapshot-13-19-nov-2018"">U', 'https://www.ndtv.com/india-news/cyclone-gaja-crosses-between-tamil-nadu-puducherry-coasts-live-updates-1948259""', 'https://reliefweb.int/map/india/india-sri-lanka-tropical-cyclone-gaja-emergency-response-coordination-centre-ercc-dg-echo""']","['2018/11/16', 'India', 'Tropical Cyclone', 'At least 11 people have been reported dead as severe cyclonic storm Gaja crossed near Tamil Nadu, India on 16 November 2018. ']"
23,10-08-2018,India,Flood,"The flood situation in Kerala State, India has worsened. According to media reports, the death toll rose to 73.",,kerala',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2018-000134-IND"">FL-2018-000134-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERINSR000045"">ERINSR00004', 'https://reliefweb.int/report/india/asia-and-pacific-weekly-regional-humanitarian-snapshot-14-20-august-2018"">U', 'https://reliefweb.int/report/india/india-kerala-state-floods-dg-echo-national-authorities-imd-echo-daily-flash-16-august""', 'https://reliefweb.int/map/india/india-kerala-monsoon-floods-emergency-response-coordination-centre-ercc-dg-echo-daily-map""', 'https://reliefweb.int/map/india/india-flood-inundated-areas-part-kerala-state-18-august-2018-1900-hrs"">Gover']","['2018/08/10', 'India', 'Flood', 'The flood situation in Kerala State, India has worsened. According to media reports, the death toll rose to 73.']"
24,05-06-2018,India,Landslide,"Ten people were killed in a landslide triggered by heavy rain in Mizoram, India.",,mizoram',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=LS-2018-000067-IND"">LS-2018-000067-IN', 'https://reliefweb.int/report/india/situation-report-heavy-rain-fall-assam-gujarat-kerala-maharashtra-west-bengal-and-0"">Gover', 'https://reliefweb.int/report/india/situation-report-heavy-rain-fall-assam-gujarat-kerala-maharashtra-west-bengal-and-0"">Gover', 'https://reliefweb.int/report/india/rain-lashes-several-parts-country"">Gover', 'https://reliefweb.int/report/india/10-killed-landslide-mizoram-no-relief-searing-heat-north"">']","['2018/06/05', 'India', 'Landslide', 'Ten people were killed in a landslide triggered by heavy rain in Mizoram, India.', 'Dead: 607\r\nAffected: 1,209,404', '', '']"
25,01-12-2017,India,Tropical Cyclone,"Cyclone Ockhi has killed at least nine people in Tamil Nadu, and four in Kerala in India.",,kerala',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2017-000172-IND"">TC-2017-000172-IN', 'https://reliefweb.int/report/india/cyclone-batters-southwestern-india-coast-killing-14-many-missing"">Re', 'http://www.bbc.com/news/world-asia-india-42192225', 'https://reliefweb.int/map/india/india-sri-lanka-maldives-tropical-cyclone-ockhi-dg-echo-daily-map-04122017""']","['2017/12/01', 'India', 'Tropical Cyclone', 'Cyclone Ockhi has killed at least nine people in Tamil Nadu, and four in Kerala in India.']"
26,04-06-2017,India,Flood,"03 Moderate flood sites have been reported in Assam. 126 persons accommodated in the relief camps.

i) River Kushiyara at Karimganj, District- Karimganj, Assam is flowing at 15.8 m against danger level 14.94 m with Rising Trend.

ii) River Katakhal at Matizuri, District-Hailakandi, Assam is flowing at 20.9 m against danger level 20.27 m with Rising Trend.

iii) River Brahmaputra at Neamatighat, District- Jorhat, Assam is flowing at 85.27 m against danger level 85.04 m with Rising Trend.",,assam',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2017-000064-IND"">FL-2017-000064-IN', 'http://reliefweb.int/report/india/india-floods-assam-dg-echo-imd-asdma-media-skymetweather-echo-daily-flash-10-july-2017""', 'http://reliefweb.int/report/india/heavy-rains-lash-north-west-north-east-india"">Gover', 'http://reliefweb.int/report/india/india-severe-weather-update-imd-local-media-echo-daily-flash-16-june-2017""', 'http://reliefweb.int/report/india/india-severe-weather-assam-state-disaster-management-authority-india-meteorological""', 'http://reliefweb.int/report/india/india-monsoon-2017-daily-monsoon-flood-situation-report-4-june-2017"">Gover']","['2017/06/04', 'India', 'Flood', '03 Moderate flood sites have been reported in Assam. 126 persons accommodated in the relief camps.\r\n\r\ni) River Kushiyara at Karimganj, District- Karimganj, Assam is flowing at 15.8 m against danger level 14.94 m with Rising Trend.\r\n\r\nii) River Katakhal at Matizuri, District-Hailakandi, Assam is flowing at 20.9 m against danger level 20.27 m with Rising Trend.\r\n\r\niii) River Brahmaputra at Neamatighat, District- Jorhat, Assam is flowing at 85.27 m against danger level 85.04 m with Rising Trend.']"
27,12-12-2016,India,Tropical Cyclone,Cyclone Vardah hit the southeast coast of India on 12 December 2016. At least four people were killed and authorities moved tens of thousands of people from low-lying areas.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2016-000129-IND"">TC-2016-000129-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERINSR000043"">ERINSR00004', 'http://www.reuters.com/article/us-india-cyclone-idUSKBN1410IP?il=0"">Re', 'https://www.disasterscharter.org/web/guest/-/cyclone-in-india-call-596-"">Internat']","['2016/12/12', 'India', 'Tropical Cyclone', 'Cyclone Vardah hit the southeast coast of India on 12 December 2016. At least four people were killed and authorities moved tens of thousands of people from low-lying areas.']"
28,01-07-2016,India,Flood,At least 58 people have been killed in northern Pakistan and India by flash floods and landslides triggered by heavy monsoon rains.,,,"['http://reliefweb.int/report/china/asia-and-pacific-weekly-regional-humanitarian-snapshot-25-july-1-august-2016"">U', 'http://reliefweb.int/report/india/assam-state-disaster-management-authority-flood-report-flood-situatoin-today-ie-26th"">Gover', 'http://reliefweb.int/report/india/india-severe-weather-update-echo-asdma-imd-local-media-echo-daily-flash-05-july-2016""', 'http://reliefweb.int/report/india/india-situation-report-uttrakhand-cloud-burst-2nd-july-2016"">S', '', 'http://reliefweb.int/report/india/landslides-and-flooding-kill-25-in']","['2016/07/01', 'India', 'Flood', 'At least 58 people have been killed in northern Pakistan and India by flash floods and landslides triggered by heavy monsoon rains.']"
29,08-06-2016,India,Flood,"On 8 June 2016, the India Meteorological Department officially announced the onset of the southwest monsoon season as heavy rainfall was recorded in the southern states particularly Kerala and Tamil Nadu.",,kerala',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2016-000060-IND"">FL-2016-000060-IN', 'http://reliefweb.int/sites/reliefweb.int/files/resources/Sitrepdtd8thJune2016_08062016.pdf"">Gover', 'http://reliefweb.int/report/india/lightning-kills-least-93-monsoon-sweeps-india', 'http://reliefweb.int/sites/reliefweb.int/files/resources/Sitrepdtd8thJune2016_08062016.pdf"">Gover', 'http://reliefweb.int/map/india/india-severe-weather-echo-daily-map-23062016""']","['2016/06/08', 'India', 'Flood', 'On 8 June 2016, the India Meteorological Department officially announced the onset of the southwest monsoon season as heavy rainfall was recorded in the southern states particularly Kerala and Tamil Nadu.\r\n', 'Killed: 5\r\nAffected families: 616', 'Fully damaged houses: 94\r\nPartially damaged houses: 304 ', '']"
30,2016/05,India,Drought,"In India, 330 million people, a quarter of the population, suffering from severe drought, have seen their incomes dip sharply owing to poor harvests.",,,['http://reliefweb.int/report/india/drought-hit-indian-kids-get-free-meals-over-holidays'],"['2016/05', 'India', 'Drought', 'In India, 330 million people, a quarter of the population, suffering from severe drought, have seen their incomes dip sharply owing to poor harvests.']"
31,2016/04,India,Heat Wave,"Heat wave claims over 100 lives in Andhra Pradesh and Telangana, India.",,andhra',"['http://reliefweb.int/report/india/india-sets-new-heat-record-temperatures-soar"">2016/', 'http://reliefweb.int/report/india/heat-wave-claims-over-100-lives-andhra-telangana"">Gover']","['2016/04', 'India', 'Heat Wave', 'Heat wave claims over 100 lives in Andhra Pradesh and Telangana, India.']"
32,04-01-2016,India,Earthquake,"At least six people were killed and scores injured Monday, 4 January 2016 when a strong 6.7 magnitude earthquake struck northeast India.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=EQ-2016-000001-IND"">EQ-2016-000001-IN', 'http://www.trust.org/item/20160104013241-etuqz/?source=fiOtherNews3"">Re', 'http://reliefweb.int/report/india/six-dead-strong-quake-hits-northeast-india']","['2016/01/04', 'India', 'Earthquake', 'At least six people were killed and scores injured Monday, 4 January 2016 when a strong 6.7 magnitude earthquake struck northeast India. ']"
33,08-11-2015,India,Flood,"Heavy rainfall and winds affected Tamil Nadu, India over 8-10 November 2015, causing floods and damage. Media report at least 10 people killed.",,tamil',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TC-2015-000163-IND"">TC-2015-000163-IN', 'https://sentinel.tksc.jaxa.jp/sentinel2/thumbnailEmob.jsp?subset_name=Emergency+Observation&amp;submit.countryIdx=0&amp;emobRequestDetailAction.requestId=ERADRC000040"">ERADRC00004', 'http://reliefweb.int/report/indonesia/asia-and-pacific-weekly-regional-humanitarian-snapshot-8-14-december-2015"">U', 'http://reliefweb.int/report/indonesia/asia-and-pacific-weekly-regional-humanitarian-snapshot-1-7-december-2015"">U', 'http://reliefweb.int/map/india/india-sri-lanka-severe-weather-echo-daily-map-02122015""', 'http://reliefweb.int/map/india/asia-severe-weather-echo-daily-map-24112015""', 'http://reliefweb.int/map/india/india-sri-lanka-severe-weather-echo-daily-map-18112015""', 'http://reliefweb.int/report/india/rain-stops-chennai-and-elsewhere-tamil-nadu"">Gover', 'http://reliefweb.int/map/world/world-severe-weather-events-echo-daily-map-10112015""', 'http://reliefweb.int/map/india/second-wave-catastrophic-flooding-chennai-tamil-nadu-india-03-december-2015"">Eur', 'http://reliefweb.int/map/india/india-floods-map-30-november-2015""', 'http://www.gsi.go.jp/common/000110338.pdf', 'http://www.gsi.go.jp/common/000110336.pdf', 'http://reliefweb.int/map/india/india-floods-map-30-november-2015""', 'http://reliefweb.int/map/india/flood-waters-over-chennai-area-tamil-nadu-state-india-26-nov-2015-0"">U', 'http://reliefweb.int/map/india/flood-waters-over-chennai-south-area-tamil-nadu-state-india-26-nov-2015"">U']","['2015/11/08', 'India', 'Flood', 'Heavy rainfall and winds affected Tamil Nadu, India over 8-10 November 2015, causing floods and damage. Media report at least 10 people killed.']"
34,04-08-2015,India,Flood,"The flood situation continues to worsen in India.
Flood waters in West Bengal, Gujarat and Rajasthan have claimed nearly 178.",,gujarat',"['http://reliefweb.int/report/india/southwest-monsoon-2015-daily-monsoon-flood-situation-report-28th-september-2015"">Gover', 'http://reliefweb.int/report/india/update-flood-situation-remains-grim-assam-5-sep-2015"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-monsoon-flood-situation-report-24th-august-2015"">Gover', 'http://reliefweb.int/map/world/world-events-echo-daily-map-20082015""', 'http://reliefweb.int/report/india/indian-red-cross-responds-floods-across-six-states"">Internat', 'http://reliefweb.int/report/india/india-floods-echo-daily-flash-6-august-2015""', 'http://reliefweb.int/report/india/flood-fury-178-dead-wb-guj-and-rajasthan"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-monsoon-flood-situation-report-28th-september-2015"">Gover', 'http://reliefweb.int/report/india/update-flood-situation-remains-grim-assam-5-sep-2015"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-monsoon-flood-situation-report-24th-august-2015"">Gover', 'http://reliefweb.int/map/world/world-events-echo-daily-map-20082015""', 'http://reliefweb.int/report/india/indian-red-cross-responds-floods-across-six-states"">Internat', 'http://reliefweb.int/report/india/india-floods-echo-daily-flash-6-august-2015""', 'http://reliefweb.int/report/india/flood-fury-178-dead-wb-guj-and-rajasthan"">Gover']","['2015/08/04', 'India', 'Flood', 'The flood situation continues to worsen in India.\r\nFlood waters in West Bengal, Gujarat and Rajasthan have claimed nearly 178.', 'Dead: 852\r\nAffected: 17,775,534', 'Damaged House: 794,869', 'Cropped Area Affected: 1,001,424ha', 'Affected: 15 lakh and 88 thousand people in 21 districts\r\n(Assam)', '', '', 'Dead: 499\r\nAffected: 15,405,536', 'Damaged House: 779,712', 'Cropped Area Affected: 139,622 ha', 'Affected: 200,000 people\r\n(Assam)', '', '', 'Dead: more than 200 people\r\nAffected: more than 10 million\r\n(West Bengal)', '', '', 'Affected:\r\nOver 500,000 people\r\n(Manipur)', '', '', 'Dead:178\r\n(West Bengal, Gujarat, Rajasthan)', '', '']"
35,01-07-2015,India,Landslide,Landslides kill at least 21 in India's Darjeeling.,,,"['http://reliefweb.int/report/india/southwest-monsoon-2015-daily-flood-situation-report-summary-important-events-09072015"">Gover', 'http://reliefweb.int/report/india/update-40-killed-darjeeling-landslides"">Gover', 'http://reliefweb.int/report/india/landslides-kill-least-11-indias-darjeeling', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-flood-situation-report-summary-important-events-09072015"">Gover', 'http://reliefweb.int/report/india/update-40-killed-darjeeling-landslides"">Gover', 'http://reliefweb.int/report/india/landslides-kill-least-11-indias-darjeeling']","['2015/07/01', 'India', 'Landslide', ""Landslides kill at least 21 in India's Darjeeling."", 'Dead: 136\r\nAffected: 174,581\n', 'Fully damaged house: 820\r\nPartially damaged house: 1,890', '', 'Dead: 40', '', '', 'Dead:21', '', '']"
36,25-06-2015,India,Flood,Floods kill 41 in western India.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2015-000064-IND"">FL-2015-000064-IN', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-flood-situation-report-summary-important-events-28062015"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-flood-situation-report-summary-important-events-25062015"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-flood-situation-report-summary-important-events-28062015"">Gover', 'http://reliefweb.int/report/india/southwest-monsoon-2015-daily-flood-situation-report-summary-important-events-25062015"">Gover', 'http://reliefweb.int/report/india/floods-kill-41-western-india']","['2015/06/25', 'India', 'Flood', 'Floods kill 41 in western India.', 'Dead: 94\r\nAffected: 82,039', 'Fully damaged house: 35\r\nPartially damaged house: 43,353 ', '', 'Dead: 81\r\nAffected: 82,039', 'Fully damaged house: 35\r\nPartially damaged house: 43,353', '']"
